main_office,school_name,school_type1,school_type2,school_type3,남여,기숙사제공여부,통학버스제공여부,교장실,교무실,행정실,취업지도실,FAX,홈페이지,우편번호,주소,상세주소
서울특별시교육청,서울동구고등학교,특성화고,상업·정보,사립,남녀공학,미제공,미제공,02-2170-8610,02-2170-8630,02-2170-8681,02-2170-8665,02-765-1357,www.donggoo.hs.kr,02834,서울특별시 성북구 성북로8길 71,서울동구고등학교
서울특별시교육청,서울동산고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,070-4614-5004,02-971-0231~3,02-971-0903~4,"070-4614-5053, 5101, 5109",02-973-3052,seouldongsan.sen.hs.kr,01832,서울특별시 노원구 공릉로 257,서울동산고등학교
서울특별시교육청,서울디자인고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,070-8662-6016,02-715-2262,02-716-8211,02-716-0533,02-716-6967,seodi.sen.hs.kr,121873,서울특별시 마포구 염리동 백범로,139번지
서울특별시교육청,서울디지털콘텐츠고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-2064-4701,02-2064-4716,02-2064-4801~6,02-2064-4751~3,02-2664-8488,sdcont.sen.hs.kr/,157220,서울 강서구 방화동,방화대로47길9
서울특별시교육청,서울디지텍고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-798-3641,02-798-3641~3,02-798-3642,02-798-3641(311~313),02-794-0822,sdh.hs.kr,04346,서울특별시 용산구 회나무로12길 27,서울디지텍고등학교
서울특별시교육청,서울로봇고등학교,마이스터고,공업,공립,남녀공학,미입력,미입력,02-3016-0100,02-3016-0110,02-2226-5344,02-3016-0170,02-2226-5348,srobot.sen.hs.kr,135230,서울특별시 강남구 일원동 광평로20길,63 서울로봇고등학교
서울특별시교육청,서울매그넷고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-808-0293,"02-807-6333(302,306,312,319)",02-803-9805,"02-894-5467(직),070-7731-2754",02-891-9757,seoulmagnet.sen.hs.kr,153030,서울특별시 금천구 시흥동 탑골로10길,45 (시흥2동 산 100-4번지)
서울특별시교육청,서울문화고등학교,특성화고,상업·정보,공립,남녀공학,미입력,미입력,02-955-9100,02-955-9100,02-955-9100,02-955-9101,02-3491-7697,seoulculture.sen.hs.kr,132854,서울특별시 도봉구 방학동 마들로,598 서울문화고등학교
서울특별시교육청,서울반도체고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-2230-9800,02-2230-9802,02-2230-9880,02-2230-9861,02-2247-3362,ssc.sen.hs.kr,130874,서울특별시 동대문구 휘경동 겸재로,21 서울반도체고등학교
서울특별시교육청,서울방송고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-3399-0505,02-3399-0520,02-3399-0511,02-3399-0562,02-2299-0264,seb.hs.kr,133846,서울특별시 성동구 옥수동 동호로5길,서울방송고등학교
서울특별시교육청,서울백영고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-2665-0101,02-2665-0935,02-2665-5900,070-8871-7785,02-2665-1190,sby.sen.hs.kr,157220,서울 강서구 방화동,방화대로 34길13
서울특별시교육청,서울신정고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-2653-6297,02-2644-3542~3,02-2644-3542~3,02-6372-2886,02-2062-0727,shinjeong.sen.hs.kr/,07736,서울특별시 강서구 등촌로13아길 20,서울신정고등학교
서울특별시교육청,서울아이티고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,070-7606-4800,02-948-1901,02-949-0387,070-7606-4835,02-973-5436,seoulit.sen.hs.kr,01773,서울특별시 노원구 섬밭로 299,(중계동)
서울특별시교육청,서울여자상업고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-873-3613,02-873-3614,02-873-3613,02-878-3626,02-873-3620,sys.sen.hs.kr,151723,서울특별시 관악구 봉천동 관악로,85
서울특별시교육청,서울영상고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-6002-9400,02-6002-9413,02-6002-9401,02-6002-9482,02-2606-1804,youngsang.sen.hs.kr,08021,서울특별시 양천구 목동로11길 46,서울영상고등학교
서울특별시교육청,서울웹툰애니메이션고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-6011-4101,02-6011-4109,02-6011-4100,02-6011-4141,02-522-4061,swas.sen.hs.kr,137853,서울특별시 서초구 방배동 과천대로,852-23
서울특별시교육청,서울의료보건고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-392-8888,02-392-5554,02-392-6666,02-392-5553,02-363-7153,smh.sen.hs.kr,04502,서울특별시 중구 만리재로37길 30,",(만리동1가)"
서울특별시교육청,서울인공지능고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-6711-0500,02-6711-0410,02-6711-0508,02-6711-3460,02-6711-0538,seoulai.sen.hs.kr/,05771,서울특별시 송파구 양산로 21,서울인공지능고등학교
서울특별시교육청,서울정화고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-960-1495,02-960-1495,02-967-0178,02-3295-4393,02-965-9155,jeonghwa.sen.hs.kr/,02480,서울특별시 동대문구 홍릉로15길 50,서울정화고등학교
서울특별시교육청,서울컨벤션고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-3427-6311,02-3427-6315,02-3427-7400,,02-3427-7722,seoul-chs.sen.hs.kr/,134080,서울 강동구 고덕동,295-1
서울특별시교육청,서일문화예술고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-763-4634,02-743-0469,02-763-6242,02-763-6247,02-765-8573,seoil.sen.hs.kr,03094,서울특별시 종로구 지봉로17길 49,(창신동)
서울특별시교육청,선린인터넷고등학교,특성화고,상업·정보,공립,남녀공학,미입력,미입력,02-713-6212,02-713-6213,02-713-6211,02-718-0797,02-718-8696,sunrint.sen.hs.kr,04314,서울특별시 용산구 원효로97길 33-4,선린인터넷고등학교
서울특별시교육청,선일빅데이터고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-355-5648,02-353-0453,02-355-8861,02-355-9201,02-355-7656,bigdata.sen.hs.kr/,122050,서울 은평구 갈현동,240-1
서울특별시교육청,선정국제관광고등학교,특성화고,상업·정보,사립,남녀공학,미제공,미제공,02-3156-1610,02-3156-1613,02-3156-1722,02-3156-1641,02-352-5073,sjt.sen.hs.kr,03327,서울특별시 은평구 서오릉로20길 19,선정국제관광고등학교 (갈현동)
서울특별시교육청,성동공업고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-6263-8200,02-6263-8202,070-8685-7702,02-6263-8212,02-2237-0814,sdth.sen.hs.kr,100878,서울 중구 흥인동,1-1 (다산로 290)
서울특별시교육청,성동글로벌경영고등학교,특성화고,상업·정보,공립,여,미입력,미입력,02-2238-4034,02-2252-9567,02-2252-1932,02-2254-2697,02-2232-7150,sdglobal.sen.hs.kr,100889,서울 중구 신당1동,퇴계로 357번지
서울특별시교육청,성암국제무역고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-2179-1800,02-2179-1820,02-2179-1817,02-2179-1873,02-2179-1878,seongam.sen.hs.kr,01174,서울특별시 강북구 도봉로29길 52,(미아동 320-1)
서울특별시교육청,세그루패션디자인고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-993-0041,02-993-0114,02-993-6696,070-5023-1532,02-998-7912,sfd.sen.hs.kr,01375,서울특별시 도봉구 시루봉로 53,세그루패션디자인고등학교
서울특별시교육청,세명컴퓨터고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-354-1321,02-354-1323,02-354-1322,02-352-6800,02-357-1381,smc.sen.hs.kr,122867,서울특별시 은평구 불광동 통일로92가길,33 세명컴퓨터 고등학교
서울특별시교육청,송곡관광고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-6077-9401,02-432-1837,02-433-2183,02-6077-9440,02-491-2995,www.sgi.hs.kr,131800,서울특별시 중랑구 망우동 양원역로,67
서울특별시교육청,수도전기공업고등학교,마이스터고,공업,사립,남녀공학,미입력,미입력,02-524-9801,02-524-9830,02-524-9860,02-524-9890,070-4673-9940,sudo.sen.hs.kr,06324,서울특별시 강남구 개포로 410,수도전기공업고등학교
서울특별시교육청,신진과학기술고등학교,특성화고,공업,사립,남녀공학,미제공,미제공,02-355-6709,02-385-3451,02-383-3481,02-384-6364,02-389-8893,shinjin.hs.kr,03453,서울특별시 은평구 은평로6길 16,신진과학기술고등학교
서울특별시교육청,염광메디텍고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-994-3101,02-994-3105,02-994-3104,02-996-3104,02-903-2813,ykm.sen.hs.kr,01874,서울특별시 노원구 월계로45가길 9,염광메디텍고등학교
서울특별시교육청,영등포공업고등학교,특성화고,공업,사립,남,미입력,미입력,070-5068-4706,070-5068-4710(구내110번),02-2659-2986,070-5068-4727(구내222번),02-2659-2980,younggong.sen.hs.kr,07524,서울특별시 강서구 허준로5길 15,영등포공업고등학교
서울특별시교육청,영락의료과학고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,02-876-8650,02-884-0760 / 0766,02-884-1882,02-884-1883,02-876-2709,youngnak-c.sen.hs.kr,151918,서울특별시 관악구 청룡동,청룡16길 25
서울특별시교육청,영신간호비즈니스고등학교,특성화고,가사·실업,사립,여,미제공,미제공,02-2289-0310,02-2289-0320,02-2289-0306,02-2289-0386,02-3391-5367,youngshin.sen.hs.kr,139855,서울특별시 노원구 중계동 중계로16나길,13
서울특별시교육청,예림디자인고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-2618-4644,02-2617-2333~4,02-2688-3515,02-2617-2336,070-4015-2336,yerim.sen.hs.kr,152883,서울특별시 구로구 궁동 오리로21길,예림디자인고등학교
서울특별시교육청,예일디자인고등학교,특성화고,가사·실업,사립,여,미제공,미제공,02-380-0850,02-380-0865,02-380-0999,02-380-0870,02-380-0880,yaledesign.sen.hs.kr,03412,서울특별시 은평구 연서로 117,예일디자인고등학교
서울특별시교육청,용산철도고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-6905-7701,02-6905-7705,02-6905-7700,02-6905-7730~5,02-6905-7786,yongsan-th.sen.hs.kr,140883,서울특별시 용산구 한강로3가 서빙고로24길,용산철도고등학교
서울특별시교육청,유한공업고등학교,특성화고,공업,사립,남녀공학,미제공,미제공,02-2610-0950,02-2610-0952,02-0610-0990,"02-2610-0966, 0967, 0983",02-2612-9348,yuhan.sen.hs.kr,08360,서울특별시 구로구 경인로 8,유한공업고등학교
서울특별시교육청,은평메디텍고등학교,특성화고,공업,사립,남녀공학,미제공,미제공,070-4020-6806,070-4020-6876,070-4020-6801,070-4020-6864,02-358-1622,eunpyeong.sen.hs.kr,122200,서울특별시 은평구 진관동 진관2로,57-57
서울특별시교육청,이화여자대학교병설미디어고등학교,특성화고,상업·정보,사립,여,미입력,미입력,,02-2209-0146-7,02-2209-0142,02-2209-2684,02-437-2806,ewhamedia.hs.kr,131802,서울특별시 중랑구 망우동 망우로73길,56 이화여자대학병설미디어고등학교
서울특별시교육청,인덕과학기술고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,02-902-2134,02-902-2180,02-902-2135,02-902-2060(교환 247번),02-996-9277,induk.sen.hs.kr,139749,서울특별시 노원구 월계동 초안산로,12
서울특별시교육청,일신여자상업고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-2140-8230,"02-2140-8231,8232",02-2140-8220,"02-2140-8255,8189",02-2140-8257,ilshin.sen.hs.kr,138854,서울특별시 송파구 송파동 송파대로38길,8
서울특별시교육청,한강미디어고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,02-2677-5325,02-2671-1448,02-2633-9101,02-2671-0217,02-2633-9102,hm.sen.hs.kr,150867,서울특별시 영등포구 양평동4가 선유로55길,22
서울특별시교육청,한세사이버보안고등학교,특성화고,공업,사립,남녀공학,미제공,미제공,02-362-0133,02-362-0130-2,02-362-0134,02-362-9757,02-312-3996,hansei.sen.hs.kr,04129,서울특별시 마포구 마포대로11길 44-80,한세사이버보안고등학교
서울특별시교육청,한양공업고등학교,특성화고,공업,사립,남,미입력,미입력,070-4832-3801,02-2238-5181,070-4832-3980,070-4832-3896,02-2235-3154,hanyang.sen.hs.kr,100450,서울특별시 중구 신당동 을지로,299
서울특별시교육청,해성국제컨벤션고등학교,특성화고,상업·정보,사립,여,미입력,미입력,070-8786-1301,070-8786-1320,070-8786-1317,070-8786-1330,02-2214-1958,haesung.sen.hs.kr,130850,서울특별시 동대문구 전농동 전농로20길,31
서울특별시교육청,홍익디자인고등학교,특성화고,상업·정보,사립,여,미입력,미입력,02-3140-1255,02-3140-1257,02-3140-1309,02-3140-1303,02-3140-1340,hid.sen.hs.kr,03977,서울특별시 마포구 성미산로 111,홍익디자인고등학교
서울특별시교육청,화곡보건경영고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,07086446501,070-8644-6316,07086446501,07086446327,02-2662-2120,hwagok-gii.sen.hs.kr,157280,서울특별시 강서구 내발산동 강서로45길,70
부산광역시교육청,경남공업고등학교,특성화고,공업,공립,남,미입력,미입력,051-607-7311,"051-607-7321,7322","051-607-7471,7472","051-607-7391,7392,7355",051-804-6904,knt.hs.kr,614040,부산 부산진구 전포동,전포대로 175번길 22
부산광역시교육청,경성전자고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-253-2455,051-253-2450,051-253-2454,051-243-6220,051-255-0472,kse.hs.kr,602093,부산 서구 서대신동3가,184번지
부산광역시교육청,계성여자고등학교,특성화고,상업·정보,사립,여,미입력,미입력,051-503-8870,051-503-8870,051-503-4894,051-503-8870,051-506-1782,school.busanedu.net/gyeseong-gc-h,47531,부산광역시 연제구 해맞이로109번길 47,계성여자고등학교
부산광역시교육청,금샘고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-540-0102,051-540-0111,051-540-0105,"051-540-0123,0127,0128",051-540-0107,kumjong.hs.kr,609858,부산광역시 금정구 서동 서금로,75
부산광역시교육청,대광고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-292-1874,051-292-1875,051-292-3225,051-292-1876,051-292-3226,daegwang.hs.kr,49412,부산광역시 사하구 동매로 135,대광고등학교
부산광역시교육청,대양고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-640-0500,051-640-0580,051-640-0515,051-640-0569,051-640-0638,daeyang.hs.kr,48464,부산광역시 남구 지게골로 128-27,대양고등학교
부산광역시교육청,대진전자통신고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-582-8125,"051-582-8121,8123","051-582-8100,9383,9213","051-580-5120,5141,5172,5138,5152",051-582-6100,pdj.hs.kr,46247,부산광역시 금정구 수림로 92,대진전자통신고등학교
부산광역시교육청,동래원예고등학교,특성화고,농생명,공립,남녀공학,미제공,미제공,051-550-3777,051-550-3713~6,051-550-3770~5,051-550-3703~4,051-553-3705,school.busanedu.net/wonyea-h,607060,부산 동래구 온천동,금강로 43 동래원예고등학교
부산광역시교육청,동명공업고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-610-2500,051-610-2520,051-610-2637,051-610-2549,051-610-2614,tm.hs.kr,608830,부산광역시 남구 용당동 신선로,410 번지(용당동 500)
부산광역시교육청,동아공업고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-200-3830,051-200-3811,051-200-3800,051-200-3846,051-294-0608,donga-tec.hs.kr,604812,부산광역시 사하구 괴정동 괴정로260번길,괴정1동 619-46번지
부산광역시교육청,동의고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-811-7500,051-811-7510,051-811-7580,051-811-7530,051-811-7531,www.dongeui.hs.kr/,47230,부산광역시 부산진구 양지로 50,동의고등학교
부산광역시교육청,배정미래고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-635-5066,"051-635-2291,2292",051-635-2293,051-647-3686,051-643-8524,mr.hs.kr,608828,부산광역시 남구 문현동 장고개로85번길,14-40
부산광역시교육청,부산공업고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,051-607-3801,051-607-3900,051-607-3800,051-607-3879,051-622-3901,pusan-th.hs.kr,48472,부산광역시 남구 수영로196번길 80,부산공업고등학교
부산광역시교육청,부산관광고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-248-3715,051-248-3123,051-248-3126,051-248-3123,051-247-3103,bstour.hs.kr,602806,부산광역시 서구 남부민동 천마로,52
부산광역시교육청,부산기계공업고등학교,마이스터고,공업,국립,남,미입력,미입력,051-719-0100,051-719-0110,051-741-5111,051-719-0144,051-746-2910,bmt.hs.kr,612820,부산광역시 해운대구 우동 해운대로,569
부산광역시교육청,부산디지털고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-460-0201,051-460-0200,051-460-0300,051-460-0240,051-460-0277,digital.hs.kr,600110,부산광역시 중구 영주동 망양로,356
부산광역시교육청,부산마케팅고등학교,특성화고,상업·정보,사립,여,미입력,미입력,051-809-3319,051-803-2851,051-803-1264,051-803-0380,051-803-1263,marketing.hs.kr,614868,부산광역시 부산진구 전포동 봉수로,13(전포3동)
부산광역시교육청,부산문화여자고등학교,특성화고,가사·실업,사립,여,미입력,미입력,051-747-8238,051-743-6917,051-746-2952,051-743-6929,051-743-6959,bs-moonhwa.hs.kr,612825,부산광역시 해운대구 우동 해운대로469번길,50
부산광역시교육청,부산보건고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-418-9251,051-418-9256~7,051-418-9253~4,051-418-9261,051-418-9267,busanhc.com,49079,부산광역시 영도구 절영로 163,부산보건고등학교
부산광역시교육청,부산소프트웨어마이스터고등학교,마이스터고,공업,공립,남녀공학,미입력,미입력,051-970-1701,051-971-2153,051-971-2152,051-970-1733,051-971-2153,www.bssm.hs.kr,618350,부산광역시 강서구 봉림동 가락대로,1393
부산광역시교육청,부산여자상업고등학교,특성화고,상업·정보,사립,여,미입력,미입력,051-797-6702,051-797-6700,051-797-6704,051-797-6756,051-797-6803,bsgch.hs.kr,613824,부산광역시 수영구 망미동 금련로,43
부산광역시교육청,부산영상예술고등학교,특성화고,상업·정보,공립,남녀공학,미입력,미입력,051-419-0200,051-419-0210,051-419-0320,051-419-0271,051-419-0279,visual.hs.kr,606814,부산광역시 영도구 신선동3가 영상길,부산영상예술고등학교
부산광역시교육청,부산자동차마이스터고등학교,마이스터고,공업,공립,남,미입력,미입력,051-263-4828,051-263-4825,051-263-4827,051-260-0141,051-264-4787,automotive.hs.kr,604842,부산 사하구 장림1동,877-1(하신중앙로 3번 나길16)
부산광역시교육청,부산전자공업고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,051-606-0201,051-606-0235,051-606-0302,051-606-0340,051-558-3798,kumgang.hs.kr,607838,부산광역시 동래구 온천동 금강로59번길,51(온천1동 386)
부산광역시교육청,부산정보고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-853-0870,051-853-0951~4,051-853-0871~2,051-853-0955,051-853-0874,psinfo.hs.kr,47119,부산광역시 부산진구 화지로 24,양정동
부산광역시교육청,부산정보관광고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-518-7921,051-518-7922,051-518-7923,070-5125-4956,051-515-2043,pusan-ith.hs.kr,609826,부산광역시 금정구 부곡동 동현로,37 부산정보관광고등학교
부산광역시교육청,부산진여자상업고등학교,특성화고,상업·정보,공립,여,미입력,미입력,051-850-3501,051-850-3503,051-850-3513,051-850-3590,051-850-3548,jin.hs.kr,47228,부산광역시 부산진구 진남로 524,(양정동)
부산광역시교육청,부산컴퓨터과학고등학교,특성화고,상업·정보,사립,남녀공학,미제공,미제공,051-460-0501,051-460-0503,051-460-0590,051-460-0540,051-460-0585,pcs.hs.kr,48805,부산광역시 동구 초량로80번길 5,부산컴퓨터과학고등학교
부산광역시교육청,부산항공고등학교,특성화고,공업,공립,남녀공학,미입력,미입력,051-309-3111,051-309-3114,051-309-3161,051-309-3287~9,051-309-3135,school.busanedu.net/sth-h/,617042,부산 사상구 덕포2동,백양대로 768번길 115
부산광역시교육청,부산해군과학기술고등학교,특성화고,공업,공립,남,미입력,미입력,051-792-7701,051-792-7700,051-792-7800,051-792-7777,051-742-1794,school.busanedu.net/hudt-h/main.do,48064,부산광역시 해운대구 해운대로469번길 96,(우동) 부산해군과학기술고등학교
부산광역시교육청,부산해사고등학교,마이스터고,수산·해운,국립,남녀공학,제공,미제공,051-410-2001,051-410-2030,051-412-9261,051-410-2130,051-410-2040,maritime.hs.kr,606775,부산광역시 영도구 동삼동 해양로,425번지 부산해사고등학교
부산광역시교육청,부일전자디자인고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,051-208-7404,051-208-7401,051-208-7403,051-293-5733,051-293-5771,buil.hs.kr,604803,부산광역시 사하구 감천동 감천로,73길 36
부산광역시교육청,세연고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-630-0201,051-632-4251,051-630-0297,051-630-0217,070-4015-0051,seyeon.hs.kr,608020,부산광역시 남구 대연동 진남로,82-19 세연고등학교
부산광역시교육청,세정고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-860-1616,051-860-1500,051-860-1600,051-860-1621,051-867-5524,sejeong.hs.kr/,614851,부산 부산진구 양정2동,16-185
부산광역시교육청,영산고등학교,특성화고,가사·실업,사립,남녀공학,미입력,미입력,051-540-9501,051-540-9520,051-540-9510,051-540-9560,051-540-9522,ysh.hs.kr,612802,부산광역시 해운대구 반송동 반송순환로,142-1 영산고등학교
부산광역시교육청,해운대관광고등학교,특성화고,상업·정보,사립,남녀공학,미입력,미입력,051-741-4346,"051-741-4347,051-742-0041",051-742-0043,051-742-0042,051-742-0044,school.busanedu.net/h-tour-h/main.do,48086,부산광역시 해운대구 우동2로60번길 38,해운대관광고등학교
대구광역시교육청,경북공업고등학교,특성화고,공업,사립,남녀공학,미입력,미입력,053-252-3695,053-255-8301~2,053-255-8300,053-235-8555,053-252-5045,gyeongbuk.hs.kr,700805,대구 중구 남산3동,2380번지 (중구 남산로 20)
